Symbol;startDate;endDate;buyPrice;sellPrice;Quantity;PL;PL(%);Price Low;Price High
COIN;2024-09-05;2024-09-06;200,35;209,47;5;45,6;4,45;146,12 US$;166,37 US$
COIN;2024-10-24;2024-10-25;201,354;199,108;5;-11,23;-1,12;200,80 US$;213,67 US$
COIN;2024-08-22;2024-08-23;195,85;192,96;5;-14,45;-1,49;197,43 US$;211,92 US$
COIN;2024-08-27;2024-08-27;192,78;187,81;5;-24,85;-2,61;194,10 US$;202,50 US$
COIN;2024-08-27;2024-08-27;181,79;176,58;5;-26,05;-2,91;194,10 US$;202,50 US$
COIN;2024-08-28;2024-08-30;166,99;164,44;5;-12,75;-1,54;180,04 US$;197,49 US$
COIN;2024-08-30;2024-09-03;169,615;164,44;5;-25,88;-3,1;168,07 US$;189,94 US$
COIN;2024-09-04;2024-09-04;166,81;159,71;5;-35,5;-4,35;160,67 US$;169,04 US$
COIN;2024-09-03;2024-09-04;164,46;159,3;5;-25,8;-3,19;160,67 US$;182,70 US$
COIN;2024-09-04;2024-09-05;147,12;150,6;5;17,4;2,34;158,12 US$;169,04 US$
COIN;2024-09-04;2024-09-05;149,75;161,0;5;56,25;7,24;158,12 US$;169,04 US$
COIN;2024-09-06;2024-09-11;152,94;161,0;5;40,3;5,13;146,12 US$;164,15 US$
COIN;2024-09-06;2024-09-16;162,465;166,57;5;20,52;2,5;146,12 US$;168,93 US$
COIN;2024-09-06;2024-09-16;164,38;166,57;5;10,95;1,32;146,12 US$;168,93 US$
COIN;2024-09-17;2024-09-18;160,35;165,63;5;26,4;3,24;160,50 US$;169,10 US$
COIN;2024-09-17;2024-09-18;204,0;165,63;5;-191,85;-20,76;160,50 US$;169,10 US$
COIN;2024-09-05;2024-09-18;167,51;171,32;10;38,1;2,25;146,12 US$;169,10 US$
COIN;2024-08-27;2024-09-18;166,7;173,12;5;32,1;3,78;146,12 US$;202,50 US$
COIN;2024-09-18;2024-09-19;164,66;170,0;5;26,7;3,19;160,80 US$;175,39 US$
COIN;2024-09-20;2024-09-22;171,54;170,0;5;-7,7;-0,9;165,40 US$;173,39 US$
COIN;2024-09-24;2024-09-25;170,42;178,01;5;37,95;4,36;163,81 US$;173,94 US$
COIN;2024-09-24;2024-09-25;168,45;178,01;5;47,8;5,52;163,81 US$;173,94 US$
COIN;2024-09-26;2024-09-26;178,21;190,97016;5;63,8;6,91;170,26 US$;181,49 US$
COIN;2024-09-25;2024-09-26;161,165;169,81;5;43,23;5,22;166,88 US$;181,49 US$
COIN;2024-09-26;2024-09-27;164,0;169,81;5;29,05;3,48;170,26 US$;192,45 US$
COIN;2024-10-01;2024-10-04;167,52;191,39;5;119,35;13,3;160,00 US$;178,90 US$
COIN;2024-10-01;2024-10-04;178,56;191,39;5;64,15;6,94;160,00 US$;178,90 US$
COIN;2024-10-01;2024-10-14;192,6;189,85;5;-13,75;-1,44;160,00 US$;197,69 US$
COIN;2024-09-30;2024-10-14;202,69;189,85;5;-64,2;-6,54;160,00 US$;197,69 US$
COIN;2024-10-15;2024-10-15;191,38;210,14;10;187,6;9,34;188,31 US$;204,90 US$
COIN;2024-10-15;2024-10-15;213,7;219,49;5;28,95;2,67;188,31 US$;204,90 US$
COIN;2024-10-15;2024-10-16;203,31;200,42;5;-14,45;-1,43;188,31 US$;212,42 US$
COIN;2024-10-18;2024-10-18;211,15;207,85;5;-16,5;-1,58;207,14 US$;220,26 US$
COIN;2024-10-23;2024-10-23;223,88;211,8;5;-60,4;-5,55;194,60 US$;209,70 US$
COIN;2024-10-21;2024-10-24;179,59;189,78;5;50,95;5,52;194,60 US$;216,86 US$
COIN;2024-10-29;2024-10-30;182,51;193,16;6;63,9;5,67;209,47 US$;223,90 US$
COIN;2024-10-31;2024-11-01;216,65;219,53;5;14,4;1,32;178,82 US$;206,00 US$
PATH;2024-09-05;2024-09-11;12,32;11,75;65;-37,05;-4,74;11,66 US$;14,06 US$
TSLA;2024-09-26;2024-09-26;210,65;219,56;5;44,55;4,14;251,53 US$;261,75 US$
TSLA;2024-10-15;2024-10-17;213,63;219,56;5;29,65;2,74;217,12 US$;224,26 US$
