Trades;Header;DataDiscriminator;Asset Category;Currency;Symbol;Date/Time;Quantity;T. Price;C. Price;Proceeds;Comm/Fee;Basis;Realized P/L;MTM P/L;Code;;
Trades;Data;Order;Stocks;USD;AI;2024-09-05, 04:34:06;15;18.84;21.12;-282.6;-1.000525;283.600525;0;34.2;O;;
Trades;Data;Order;Stocks;USD;AI;2024-09-06, 09:41:52;-15;21.39;21.3;320.85;-1.01193463;-283.600525;36.23754;1.35;C;;
Trades;SubTotal;;Stocks;USD;AI;;0;;;38.25;-2.01245963;0;36.23754;35.55;;;
Trades;Data;Order;Stocks;USD;ANRO;2024-10-24, 00:46:59;25;4.526;4.13;-113.15;-1.0018;114.1518;0;-9.9;O;P;
Trades;Data;Order;Stocks;USD;ANRO;2024-10-25, 10:06:56;-25;4.02;4.37;100.5;-1.0087439;-114.1518;-14.660544;-8.75;C;;
Trades;SubTotal;;Stocks;USD;ANRO;;0;;;-12.65;-2.0105439;0;-14.660544;-18.65;;;
Trades;Data;Order;Stocks;USD;COIN;2024-08-22, 09:50:40;-10;202.57;198.43;2025.7;-1.05797446;-1930.5;94.142026;41.4;C;;
Trades;Data;Order;Stocks;USD;COIN;2024-08-22, 11:59:27;5;200.35;198.43;-1001.75;-1;1002.75;0;-9.6;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-08-23, 13:44:17;-5;209.47;211.4;1047.35;-1.02994633;-1002.75;43.570054;-9.65;C;;
Trades;Data;Order;Stocks;USD;COIN;2024-08-27, 02:23:51;5;204;198.3;-1020;-1;1021;0;-28.5;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-08-27, 09:02:41;5;201.354;198.3;-1006.77;-1;1007.77;0;-15.27;O;P;
Trades;Data;Order;Stocks;USD;COIN;2024-08-27, 09:32:15;-5;199.108;198.3;995.54;-1.028506012;-1021;-26.488506;4.04;C;P;
Trades;Data;Order;Stocks;USD;COIN;2024-08-27, 11:32:58;5;195.85;198.3;-979.25;-1;980.25;0;12.25;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-08-27, 21:20:16;-5;192.96;190.2;964.8;-1.02765144;-1007.77;-43.997651;13.8;C;;
Trades;Data;Order;Stocks;USD;COIN;2024-08-28, 10:46:25;5;192.78;190.2;-963.9;-1;964.9;0;-12.9;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-08-30, 09:37:09;-5;187.81;183.36;939.05;-1.02693559;-980.25;-42.226936;22.25;C;;
Trades;Data;Order;Stocks;USD;COIN;2024-08-30, 15:48:11;5;181.79;183.36;-908.95;-1;909.95;0;7.85;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-03, 09:41:34;-5;176.58;169.13;882.9;-1.02537462;-964.9;-83.025375;37.25;C;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-03, 15:34:15;5;169.615;169.13;-848.075;-1;849.075;0;-2.425;O;P;
Trades;Data;Order;Stocks;USD;COIN;2024-09-04, 00:35:55;5;166.99;163.22;-834.95;-1;835.95;0;-18.85;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-04, 09:30:58;-10;164.44;163.22;1644.4;-1.04737432;-1759.025;-115.672374;12.2;C;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-04, 09:55:20;5;164.46;163.22;-822.3;-1;823.3;0;-6.2;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-04, 13:09:07;5;166.81;163.22;-834.05;-1;835.05;0;-17.95;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-05, 15:21:13;-5;159.71;159.7;798.55;-1.02320469;-835.95;-38.423205;0.05;C;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-05, 15:22:10;-5;159.3;159.7;796.5;-1.0231477;-823.3;-27.823148;-2;C;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-05, 15:37:53;5;160.35;159.7;-801.75;-1.000175;802.750175;0;-3.25;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-06, 10:58:01;5;152.94;147.35;-764.7;-1.000175;765.700175;0;-27.95;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-06, 13:05:12;5;149.75;147.35;-748.75;-1.000175;749.750175;0;-12;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-06, 14:32:13;5;147.12;147.35;-735.6;-1.000175;736.600175;0;1.15;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-11, 10:16:21;-5;150.6;157.15;753;-1.0220234;-835.05;-83.072023;-32.75;C;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-16, 02:43:06;-10;161;161.5;1610;-1.046938;-1568.45035;40.502711;-5;C;P;
Trades;Data;Order;Stocks;USD;COIN;2024-09-17, 06:14:12;5;164.38;162.45;-821.9;-1.00026;822.90026;0;-9.65;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-17, 13:03:08;5;162.465;162.45;-812.325;-1.00026;813.32526;0;-75;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-18, 14:03:01;-10;166.57;162.64;1665.7;-1.04848646;-1486.35035;178.301164;39.3;C;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-18, 14:04:03;-10;165.63;162.64;1656.3;-1.04822514;-1636.22552;19.026254;29.9;C;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-18, 22:38:40;10;167.51;168.24;-1675.1;-1.00052;1676.10052;0;7.3;O;;
Trades;Data;Order;Stocks;USD;COIN;2024-09-19, 09:32:25;-10;171.32;168.24;1713.2;-1.04980696;-1676.10052;36.049673;30.8;C;;
